From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'newProject'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'parsecfg'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return '{'libraries': ['colorama', 'pylogger', 'random', 'os', 'time']}'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'install'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return 'None'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'install'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return 'None'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'grabDefault'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return 'True'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'grabPath'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return 'C:\EasyAsPy\RESOURCES\defaultprojectcli.py'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'getPrjctInfo'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return 'Project name: C:/-py-stuff/randpredict
Python version: 3.12.1 '
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Executing function 'grabPath'
From 'easyaspy.py | Main' at [10:11:13 AM October 13      2024 Sunday]               Function completed with return 'C:\EasyAsPy\RESOURCES\runner.py'
